year,indicator,n_with,n_without,median_with,median_without,U,p,r_rb
1,lone_wolf,103,105,49.0,57.0,5311.5,0.825815082099449,0.017753120665741973
1,radio_silence,112,96,35.0,66.5,4328.0,0.015480418986207188,0.19494047619047616
2,lone_wolf,93,85,35.0,48.0,3654.0,0.3854091874603306,0.0755218216318786
2,radio_silence,97,81,31.0,50.0,3128.5,0.019502997284627527,0.20364006618302155
3,lone_wolf,86,75,35.0,57.0,2873.0,0.23351710528669367,0.10914728682170538
3,radio_silence,92,69,34.5,50.0,2593.0,0.04733983251626676,0.18304977945809708
4,lone_wolf,71,63,38.0,46.0,2103.0,0.5531976953413582,0.059691482226693515
4,radio_silence,71,63,46.0,44.0,2020.5,0.3366535968217842,0.09657947686116697
5,lone_wolf,66,53,38.5,46.0,1643.5,0.5744676262314676,0.06032018296169239
5,radio_silence,67,52,49.0,43.0,1666.0,0.685812652061931,0.04362801377726755
